SignId,Id,X,Y,Z,Retro,UTC
2,680603,33.7739868,-84.4018773,306.309,0.71,64556.55372
2,680604,33.7739868,-84.4018774,306.245,0.72,64556.55375
2,680605,33.7739868,-84.4018773,306.182,0.73,64556.55378
2,680606,33.7739867,-84.4018773,306.12,0.75,64556.55382
2,680607,33.7739868,-84.4018774,306.054,0.72,64556.55385
2,680726,33.7739866,-84.4018774,306.999,0.71,64556.56667
2,680727,33.7739866,-84.4018774,306.937,0.75,64556.56671
2,680729,33.7739867,-84.4018776,306.814,0.76,64556.56677
2,680730,33.7739866,-84.4018775,306.752,0.76,64556.5668
2,680731,33.7739866,-84.4018775,306.69,0.75,64556.56684
2,680732,33.7739867,-84.4018776,306.628,0.72,64556.56687
2,680733,33.7739866,-84.4018776,306.567,0.76,64556.5669
2,680734,33.7739865,-84.4018775,306.506,0.75,64556.56694
2,680736,33.7739865,-84.4018776,306.382,0.73,64556.567
2,680737,33.7739866,-84.4018776,306.319,0.72,64556.56703
2,680738,33.7739865,-84.4018776,306.257,0.71,64556.56707
2,680739,33.7739865,-84.4018776,306.195,0.7,64556.5671
2,680740,33.7739865,-84.4018777,306.132,0.76,64556.56713
2,680741,33.7739866,-84.4018777,306.068,0.71,64556.56717
2,680859,33.7739864,-84.4018777,306.997,0.73,64556.57999
2,680860,33.7739863,-84.4018778,306.936,0.76,64556.58002
2,680862,33.7739865,-84.401878,306.815,0.73,64556.58009
2,680863,33.7739863,-84.4018778,306.755,0.75,64556.58012
2,680866,33.7739864,-84.4018779,306.572,0.75,64556.58022
2,680867,33.7739862,-84.4018777,306.513,0.75,64556.58025
2,680870,33.7739864,-84.401878,306.328,0.72,64556.58035
2,680871,33.7739864,-84.401878,306.268,0.64,64556.58038
2,680873,33.7739864,-84.4018781,306.144,0.75,64556.58045
2,680874,33.7739863,-84.401878,306.084,0.72,64556.58048
2,680993,33.7739863,-84.4018782,306.934,0.71,64556.59333
2,681006,33.773986,-84.4018783,306.159,0.74,64556.59376
2,681128,33.7739859,-84.4018784,306.874,0.73,64556.60668
2,681129,33.7739858,-84.4018783,306.816,0.76,64556.60672
2,681130,33.7739859,-84.4018784,306.758,0.76,64556.60675
2,681131,33.7739859,-84.4018784,306.7,0.77,64556.60678
2,681132,33.7739859,-84.4018785,306.641,0.77,64556.60681
2,681133,33.7739858,-84.4018784,306.583,0.76,64556.60685
2,681134,33.7739858,-84.4018784,306.525,0.76,64556.60688
2,681135,33.7739859,-84.4018785,306.466,0.76,64556.60691
2,681136,33.7739858,-84.4018785,306.408,0.76,64556.60695
2,681137,33.7739858,-84.4018785,306.349,0.76,64556.60698
2,681138,33.7739857,-84.4018784,306.292,0.76,64556.60701
2,681139,33.7739858,-84.4018785,306.231,0.76,64556.60704
2,681140,33.7739859,-84.4018786,306.171,0.7,64556.60708
2,681261,33.7739857,-84.4018786,306.874,0.72,64556.62
2,681262,33.7739858,-84.4018787,306.817,0.75,64556.62003
2,681263,33.7739856,-84.4018785,306.76,0.76,64556.62007
2,681264,33.7739857,-84.4018786,306.703,0.76,64556.6201
2,681265,33.7739856,-84.4018786,306.646,0.76,64556.62013
2,681266,33.7739856,-84.4018786,306.589,0.75,64556.62016
2,681267,33.7739856,-84.4018786,306.532,0.75,64556.6202
2,681268,33.7739856,-84.4018786,306.475,0.76,64556.62023
2,681269,33.7739855,-84.4018786,306.418,0.75,64556.62026
2,681270,33.7739856,-84.4018787,306.36,0.76,64556.6203
2,681271,33.7739856,-84.4018787,306.303,0.75,64556.62033
2,681272,33.7739856,-84.4018787,306.245,0.74,64556.62036
2,681273,33.7739856,-84.4018788,306.186,0.72,64556.62039
2,681395,33.7739855,-84.4018789,306.817,0.71,64556.63335
2,681396,33.7739854,-84.4018788,306.761,0.76,64556.63338
2,681397,33.7739854,-84.4018788,306.705,0.75,64556.63342
2,681398,33.7739854,-84.4018788,306.649,0.75,64556.63345
2,681399,33.7739854,-84.4018789,306.593,0.75,64556.63348
2,681400,33.7739854,-84.4018788,306.538,0.77,64556.63352
2,681401,33.7739854,-84.4018789,306.481,0.76,64556.63355
2,681402,33.7739853,-84.4018788,306.426,0.76,64556.63358
2,681403,33.7739854,-84.4018789,306.369,0.75,64556.63361
2,681404,33.7739853,-84.4018789,306.313,0.75,64556.63365
2,681405,33.7739854,-84.401879,306.255,0.71,64556.63368
2,681529,33.7739852,-84.4018791,306.763,0.71,64556.6467
2,681530,33.7739851,-84.401879,306.708,0.76,64556.64673
2,681531,33.7739851,-84.401879,306.654,0.75,64556.64677
2,681532,33.7739851,-84.401879,306.599,0.75,64556.6468
2,681533,33.7739851,-84.401879,306.545,0.75,64556.64683
2,681534,33.7739851,-84.4018791,306.49,0.76,64556.64687
2,681535,33.7739851,-84.4018791,306.435,0.75,64556.6469
2,681536,33.7739851,-84.4018791,306.379,0.75,64556.64693
2,681537,33.773985,-84.4018791,306.325,0.75,64556.64696
2,681538,33.7739851,-84.4018791,306.269,0.73,64556.647
2,681663,33.7739849,-84.4018793,306.765,0.66,64556.66002
2,681664,33.7739849,-84.4018792,306.712,0.73,64556.66005
2,681665,33.7739849,-84.4018793,306.658,0.76,64556.66008
2,681666,33.7739849,-84.4018792,306.605,0.76,64556.66011
2,681667,33.7739849,-84.4018793,306.551,0.75,64556.66015
2,681668,33.773985,-84.4018794,306.497,0.76,64556.66018
2,681669,33.7739849,-84.4018793,306.444,0.75,64556.66021
