SignId,Id,X,Y,Z,Retro,angle,distance,UTC
1,38318,33.7872529,-84.4055615,245.121,0.75,-0.13734,7.225,66090.536
1,38319,33.7872529,-84.4055616,245.045,0.75,-0.14761,7.245,66090.536
1,38320,33.7872529,-84.4055614,244.972,0.75,-0.15788,7.240,66090.536
1,38321,33.7872528,-84.4055613,244.900,0.74,-0.16815,7.238,66090.536
1,38322,33.7872527,-84.4055611,244.827,0.75,-0.17842,7.235,66090.536
1,38323,33.7872527,-84.4055611,244.752,0.75,-0.18869,7.249,66090.536
1,38324,33.7872526,-84.4055610,244.678,0.75,-0.19896,7.255,66090.536
1,38325,33.7872525,-84.4055607,244.608,0.75,-0.20923,7.244,66090.536
1,38326,33.7872525,-84.4055605,244.536,0.75,-0.21950,7.241,66090.536
1,38327,33.7872524,-84.4055605,244.461,0.75,-0.22977,7.254,66090.536
1,38380,33.7872527,-84.4055618,245.285,0.74,-0.11669,7.116,66090.549
1,38381,33.7872526,-84.4055617,245.213,0.76,-0.12696,7.116,66090.549
1,38382,33.7872525,-84.4055615,245.143,0.75,-0.13723,7.106,66090.549
1,38383,33.7872525,-84.4055615,245.069,0.75,-0.14750,7.114,66090.549
1,38384,33.7872525,-84.4055614,244.996,0.75,-0.15777,7.120,66090.549
1,38385,33.7872524,-84.4055613,244.923,0.75,-0.16804,7.125,66090.549
1,38386,33.7872524,-84.4055612,244.852,0.75,-0.17831,7.124,66090.549
1,38387,33.7872523,-84.4055610,244.781,0.75,-0.18858,7.120,66090.550
1,38388,33.7872523,-84.4055610,244.707,0.74,-0.19885,7.132,66090.550
1,38389,33.7872522,-84.4055608,244.637,0.75,-0.20912,7.129,66090.550
1,38390,33.7872521,-84.4055607,244.564,0.76,-0.21939,7.136,66090.550
1,38391,33.7872520,-84.4055605,244.493,0.75,-0.22966,7.134,66090.550
1,38448,33.7872522,-84.4055617,245.232,0.75,-0.12705,6.994,66090.563
1,38449,33.7872522,-84.4055616,245.160,0.75,-0.13732,6.999,66090.563
1,38450,33.7872521,-84.4055615,245.089,0.75,-0.14759,6.998,66090.563
1,38451,33.7872521,-84.4055614,245.018,0.74,-0.15786,7.001,66090.563
1,38452,33.7872520,-84.4055613,244.947,0.76,-0.16813,7.005,66090.563
1,38453,33.7872520,-84.4055612,244.877,0.74,-0.17840,7.001,66090.563
1,38454,33.7872519,-84.4055611,244.805,0.76,-0.18867,7.009,66090.563
1,38455,33.7872519,-84.4055609,244.735,0.75,-0.19894,7.007,66090.563
1,38456,33.7872518,-84.4055608,244.666,0.76,-0.20921,7.005,66090.563
1,38457,33.7872517,-84.4055606,244.595,0.76,-0.21948,7.009,66090.563
1,38458,33.7872517,-84.4055605,244.524,0.75,-0.22975,7.012,66090.563
1,38515,33.7872518,-84.4055615,245.181,0.74,-0.13732,6.871,66090.576
1,38516,33.7872517,-84.4055614,245.112,0.75,-0.14759,6.873,66090.576
1,38517,33.7872517,-84.4055613,245.042,0.76,-0.15786,6.875,66090.576
1,38518,33.7872516,-84.4055612,244.974,0.75,-0.16812,6.869,66090.576
1,38519,33.7872516,-84.4055611,244.903,0.75,-0.17839,6.877,66090.576
1,38520,33.7872515,-84.4055609,244.834,0.75,-0.18866,6.873,66090.576
1,38521,33.7872515,-84.4055609,244.763,0.74,-0.19893,6.885,66090.576
1,38522,33.7872514,-84.4055607,244.697,0.74,-0.20920,6.874,66090.576
1,38523,33.7872513,-84.4055606,244.627,0.74,-0.21947,6.880,66090.576
1,38524,33.7872513,-84.4055606,244.553,0.76,-0.22974,6.899,66090.576
1,38583,33.7872514,-84.4055615,245.133,0.75,-0.14748,6.758,66090.589
1,38584,33.7872513,-84.4055614,245.065,0.74,-0.15775,6.755,66090.589
1,38585,33.7872512,-84.4055611,244.999,0.74,-0.16801,6.745,66090.589
1,38586,33.7872512,-84.4055611,244.929,0.74,-0.17828,6.759,66090.589
1,38587,33.7872511,-84.4055609,244.863,0.75,-0.18855,6.748,66090.589
1,38588,33.7872511,-84.4055610,244.790,0.75,-0.19882,6.771,66090.589
1,38589,33.7872510,-84.4055608,244.724,0.75,-0.20909,6.767,66090.590
1,38590,33.7872509,-84.4055606,244.657,0.75,-0.21936,6.762,66090.590
1,38591,33.7872509,-84.4055605,244.587,0.74,-0.22963,6.773,66090.590
1,38648,33.7872509,-84.4055613,245.090,0.74,-0.15784,6.628,66090.603
1,38649,33.7872509,-84.4055612,245.022,0.76,-0.16811,6.634,66090.603
1,38650,33.7872508,-84.4055612,244.953,0.75,-0.17838,6.641,66090.603
1,38651,33.7872508,-84.4055610,244.887,0.73,-0.18864,6.640,66090.603
1,38652,33.7872507,-84.4055609,244.820,0.76,-0.19891,6.642,66090.603
