Id,X,Y,Z,Angle,Distance,Retro,UTC,x_cart,y_cart,z_cart,sign_id
15819827,-84.247175326,33.848587828,326.0613,0.027139999999999997,29.506,0.82,70998.97052,5846.334983235529,191.60380655718254,-123.36945152802446,2044
15819908,-84.247174712,33.848587807,326.0592,0.027030000000000002,29.351999999999997,0.82,70998.98384,5846.332653015108,191.66063414813658,-123.36735196558902,2044
15819990,-84.247174187,33.848587653,326.0602,0.027030000000000002,29.215,0.7959999999999999,70998.99716,5846.315572415891,191.70922490192928,-123.36836621974908,2044
15820072,-84.247173448,33.848587666,326.058,0.027139999999999997,29.055999999999997,0.78,70999.01048,5846.317013795724,191.77762155073555,-123.36616283893318,2044
15820153,-84.247172812,33.84858748,326.0487,0.027030000000000002,28.921999999999997,0.8,70999.02378999999,5846.29637432012,191.83648546119497,-123.35688005377324,2044
15738188,-84.247118849,33.849688721,324.6191,0.027039999999999998,51.785,0.467,70985.93551,5968.450629291024,196.82835902152053,-121.81358677332264,2049
15738189,-84.247118771,33.849688708,324.086,0.01675,51.773999999999994,0.369,70985.93553999999,5968.448686779323,196.83556166521763,-121.28048814040858,2049
15738275,-84.247118033,33.849688744,324.6239,0.027139999999999997,51.601000000000006,0.745,70985.94883,5968.453186639567,196.90388146435902,-121.81838204556652,2049
15738276,-84.24711803699999,33.849688604,324.093,0.01685,51.606,0.62,70985.94886,5968.437158526672,196.9034952068708,-121.28749687517393,2049
15738362,-84.247117395,33.849688489,324.6192,0.027039999999999998,51.452,0.7759999999999999,70985.96214,5968.424897497653,196.96293001400406,-121.81370678760595,2049
15738363,-84.247117363,33.849688404,324.0896,0.01675,51.45,0.635,70985.96218,5968.414971565176,196.96587553323036,-121.28411578592295,2049
15738449,-84.24711667,33.849688368,324.6193,0.027039999999999998,51.286,0.773,70985.97546,5968.41147701754,197.03003042061113,-121.81381732177078,2049
15738450,-84.247116668,33.849688236999995,324.0915,0.01675,51.29,0.706,70985.97549,5968.3964501560895,197.03019953802215,-121.28603119535819,2049
