query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.8369315,-84.2490125,326.1505001,106681,33.836850398,-84.249119167,332.7894,0.7879999999999999,1789,4544.361082730997,11.696899386384862,-131.16472139304264
33.8369315,-84.2490125,326.1505001,106682,33.836850093,-84.249119393,332.6087,0.7959999999999999,1789,4544.327121309285,11.675979213906208,-130.98404566764538
33.8369315,-84.2490125,326.1505001,106683,33.836850054,-84.249119333,332.4147,0.8,1789,4544.322656518363,11.681532816078759,-130.79004880036965
33.8369315,-84.2490125,326.1505001,106684,33.836849947,-84.249119347,332.2254,0.8,1789,4544.310652165801,11.680236561292007,-130.60075733740914
33.8369315,-84.2490125,326.1505001,106685,33.836849798,-84.249119407,332.0394,0.8270000000000001,1789,4544.293991309572,11.674682291013795,-130.414769213766
33.8369315,-84.2490125,326.1505001,106686,33.83684976,-84.24911935,331.8492,0.8240000000000001,1789,4544.28964016248,11.679958200810026,-130.22457226650698
33.8369315,-84.2490125,326.1505001,106687,33.836849529,-84.249119498,331.6689,0.835,1789,4544.26388750707,11.666258159011209,-130.0442906583737
33.8369315,-84.2490125,326.1505001,106688,33.836849551,-84.249119377,331.4781,0.847,1789,4544.266191451458,11.677458273320918,-129.85348894122143
33.8369315,-84.2490125,326.1505001,106689,33.836851634,-84.249118117,335.7203,0.769,1789,4544.500282155578,11.794098780589637,-134.0955224306719
33.8369315,-84.2490125,326.1505001,106690,33.836851445,-84.249118207,335.5121,0.765,1789,4544.479168397227,11.785767491107869,-133.88733748927677
33.8369315,-84.2490125,326.1505001,106691,33.836851286999995,-84.249118265,335.3035,0.773,1789,4544.4614930393,11.780398305084038,-133.67875008609616
33.8369315,-84.2490125,326.1505001,106692,33.836851294,-84.249118146,335.084,0.773,1789,4544.462112579124,11.791413240664768,-133.45924956574865
33.8369315,-84.2490125,326.1505001,106693,33.83685114,-84.249118201,334.8792,0.7759999999999999,1789,4544.444883642707,11.786321760258852,-133.2544618424485
33.8369315,-84.2490125,326.1505001,106694,33.836850986,-84.24911825699999,334.6763,0.7759999999999999,1789,4544.4276560666085,11.781137718516744,-133.05157411841952
33.8369315,-84.2490125,326.1505001,106695,33.836850868,-84.249118277,334.4726,0.769,1789,4544.41442123073,11.779286040963209,-132.84788353233418
33.8369315,-84.2490125,326.1505001,106696,33.836850808,-84.249118234,334.2666,0.784,1789,4544.407618423963,11.783266001221488,-132.64188833824855
33.8369315,-84.2490125,326.1505001,106697,33.836850776999995,-84.24911816,334.0606,0.7759999999999999,1789,4544.404032452408,11.790115500547003,-132.43589083709347
33.8369315,-84.2490125,326.1505001,106698,33.836850647,-84.24911819399999,333.8631,0.7959999999999999,1789,4544.3894709488,11.786967914033307,-132.2384012027951
33.8369315,-84.2490125,326.1505001,106699,33.836850478,-84.249118272,333.6698,0.784,1789,4544.370586360334,11.779747441353122,-132.04511467026816
33.8369315,-84.2490125,326.1505001,106700,33.83685035,-84.249118307,333.4754,0.792,1789,4544.356248925442,11.776507295453635,-131.85072487790757
33.8369315,-84.2490125,326.1505001,106701,33.836850426999995,-84.249118119,333.2697,0.792,1789,4544.364643107977,11.793909287228754,-131.64501879087936
33.8369315,-84.2490125,326.1505001,106702,33.836850055999996,-84.249118416,333.0927,0.7879999999999999,1789,4544.323363254773,11.766416951026805,-131.46804831333841
33.8369315,-84.2490125,326.1505001,106703,33.836850041999995,-84.24911833,332.8958,0.8079999999999999,1789,4544.321669524624,11.77437725369531,-131.2711494586825
